中文,英文
你自己；您自己,yourself
工程师；技师,engineer
时装业；时尚,fashion
设计师,designer
导演；主任；董事,director
音乐家；乐师,musician
消防队员,fireman
人工智能,AI
小品文；文章,essay
经典作品；名著,classic
最优秀的；古典的,classic
继续做；反复做,keep on doing sth
确保；保证,make sure
尽最大努力,try one's best
文学；文献,literature
运动员,athlete
摄影师；拍照者,photographer
画家；油漆匠,painter
商界人士；企业家,businessman
女演员,actress
律师,lawyer
法律；法规,law
洗澡；浴缸,bath
想念；错过,miss
对……感到厌倦,be tired of
能够；有才能的,able
粘贴；将……刺入,stick
枝条；棍,stick
坚持；维持,stick to sth
与……有关系,have (...) to do with sb / sth
小目标,mini-goal
（经过努力）达到；完成,achieve
身体的；物质的,physical
健康,health
健康地,healthily
开始学；开始从事,take up
照相术；摄影,photography
自我改进；自我提高,self-improvement
自信的；肯定的,confident
有条理的；有组织的,organized
聪明地；明智地,wisely
可能的；合理的,possible
段；段落,paragraph
介绍；引见；引进,introduce
意义；含义,meaning
未能（做到）；失败,fail
提前；在前面,ahead
扑灭；把……摆好,put out
设计；计划,design
设计；花纹,design
桥,bridge
最后的；最终的,final
决赛,final
信心；信任,confidence
即将结束；即将完成,draw to a close
（使）形成；组成,form
类型；形式,form
关系；联系,relationship
俯卧撑,push-up
精力充沛的；充满活力的,energetic
最后但同等重要的,last but not least
贾森,Jason
蒂娜,Tina
预测；预言,prediction
外围的；外表的,outer
太空；外层空间,outer space
更差的；更糟的；更坏的,worse
更差；更糟；更坏,worse
接替；接管；接收,take over
科幻小说（或影片等）,sci-fi
票；券,ticket
乐观的；积极的；良好的,positive
交通；运输,traffic
（非法）进行交易；做……买卖,traffic
科技；工艺,technology
视频；录像系统,video
录视频；给……录像,video
交通运输系统；旅行方式,transport
运输；运送,transport
系统,system
效率高的；有效功的,efficient
教育,education
时长；长度,length
话题；题目；标题,topic
搭档；同伴,partner
将要；将会,shall
及格；通过,pass
及格；通行证,pass
优胜者；成功者,winner
药物；疗法,cure
治愈；治好,cure
癌症,cancer
音乐会；演奏会,concert
现金；金钱,cash
钱包；皮夹,wallet
客人；宾客,guest
作者；作家,author
畅销的,best-selling
未来学家,futurist
到处；所有地方,everywhere
服务；公共服务,service
灾难；不幸,disaster
突发事件；紧急情况,emergency
消失；不见,disappear
挑战性的,challenging
飞行员；领航员,pilot
专家；行家,expert
熟练的；内行的,expert
代替；取代,replace
创造力,creativity
情感的；情绪的,emotional
智力；智慧,intelligence
情绪智力,emotional intelligence
提到；写到,mention
冰箱,refrigerator
接受；相信,accept
影响；对……起作用,influence
影响；作用,influence
创造性的；创作的,creative
不可能的,impossible
对；对抗,vs
素质；质量；品质,quality
优质的；高质量的,quality
增强；发展；开发,develop
德语；德国人,German
德国的,German
很有用的；宝贵的,valuable
挑战；质疑,challenge
向（某人）挑战；对……怀疑,challenge
公共的；公众的,public
医学的；医疗的,medical
行业；工业,industry
任务；工作,task
取决于；依靠,depend
取决于；依靠,depend on / upon
珍妮弗,Jennifer
哈里；哈丽,Harry
皮特·罗伯茨,Pete Roberts
阿西莫夫,Asimov
法国,France
曼迪,Mandy
表达；交流,communication
面对面,face to face
（手机）短信息；短信,text message
手势；迹象；标志,sign
签（名）；签字,sign
说话者；发言者,speaker
排演；排练,rehearsal
领某人参观,show sb around
当地的；地方的,local
当地人；本地人,local
面对面的,face-to-face
教授,professor
亲自；亲身,in person
演说；发言,speech
争论；争吵,argue
与……言归于好,make up (with sb)
较喜欢,prefer
镇静的；沉着的,calm
使平静；使镇静,calm
为……担心,worry about
表达方式；表达,expression
机会；可能性,chance
意外的；偶然的,chance
会面；会议,meeting
困难；难题,difficulty
立即；马上,right away
字行；便条；线,line
给……写信,drop sb a line
细节；详情,detail
团聚；重逢；聚会,reunion
严肃地；认真地,seriously
训练；培训,training
担忧的；焦虑的；胆怯的,nervous
陌生人,stranger
指点；实用的提示；尖端,tip
（使）倾斜；倒出；给小费,tip
认真地；仔细地；小心地,carefully
对……表现出兴趣,show interest in sth
听者,listener
观点；重点
