中文,英文
古代的；古老的,ancient
度假营；营地,camp
露营；宿营,camp
风景；景色,landscape
奇怪的；陌生的,strange
假期；度假,vacation
极好的；了不起的,fantastic
镇；商业区,town
呼吸的空气；一口气,breath
令人惊叹；让人叹绝,take sb's breath away
尤其；特别,especially
汽锅鸡,steamed chicken soup
在任何地方；随便哪个地方,anywhere
没有任何东西；没有事,nothing
风景；景色,scenery
丝绸；（蚕）丝,silk
围巾；披巾,scarf
只有；只是,nothing but
旅馆；旅社,hotel
使人舒服的；舒适的,comfortable
准备好的；现成的,ready
已做完；已完成,ready
马上要（做某事）；愿意做（某事）,ready to do sth
在某处；到某处,somewhere
某处；某个地方,somewhere
天；天空,sky
厌倦的；烦闷的,bored
站起；起立,stand up
向；朝,towards
虹；彩虹,rainbow
广场；正方形,square
正方形的；平方的,square
在……期间,during
胜利；成功,victory
俄罗斯的；俄罗斯人的,Russian
俄罗斯人；俄语,Russian
战斗；搏斗；斗争,fight
打仗；打架,fight
反对；与……相反；紧靠,against
与……作战；与……作斗争,fight against sb / sth
导游；指南；手册,guide
给某人领路；指导,guide
艺术作品；插图,artwork
数以千计的；成千上万的,thousands of
眼泪；泪水,tear
提醒；使想起,remind
和平；太平,peace
容易地；轻易地,easily
忘记；遗忘,forget
正午；中午,noon
生病的；恶心的,sick
火车站；公共汽车站,station
王宫；宫殿,palace
手风琴,accordion
聚会；相聚,get together
在阳光下,in the sun
塔；塔楼,tower
可能；可以,might
预算,budget
把……编入预算；精打细算,budget
护照,passport
健忘的；好忘事的,forgetful
远方的；遥远的,faraway
平常的；有规律的,regular
乡村；农村,countryside
转身；翻转,turn around
惊奇的；惊讶的,surprised
鹿,deer
很可能；大概,probably
寻找,look for
迎客松,Guest-Greeting Pine
云海,Sea of Clouds
加利福尼亚（美国州名）,California
红场,Red Square
亚历山大花园,Alexander Garden
文森特,Vincent
莫斯科（俄罗斯首都）,Moscow
俄罗斯,Russia
胜利博物馆,the Victory Museum
纳粹党人；纳粹分子,Nazi
第二次世界大战,World War II
莫斯科地铁,Moscow Metro
苏格兰,Scotland
打包；收拾,pack
打包,pack up
浴室；洗手间,bathroom
把……分类；整理,sort
种类,sort
卧室,bedroom
阳台,balcony
挂起；挂断电话,hang up
邀请,invite
客厅,living room
到达,arrival
还,yet
但是,yet
添加；加,add
把……加入……,add sth to sth
去购物,go shopping
饼干,biscuit
借,borrow
策划；打算,plan
计划；方案,plan
宝物；财富,treasure
珍视,treasure
搜寻；狩猎,hunt
搜寻；打猎,hunt
寻宝游戏,treasure hunt
搭便车；电梯,lift
举起；抬起,lift
开车顺便送某人,give sb a lift
到……时；直到……为止,until
注意；当心,be careful with
电影,movie
电影院；电影产业,the movies
不运行的；死的,dead
笔记；记录；便条,note
注意；指出,note
做笔记,take notes
清扫,clean up
社区；社团,community
垃圾,rubbish
差不多；几乎,almost
旅行；历程,journey
旅行,journey
拉；拖；拔,pull
行李,luggage
啊（表示高兴、惊奇等）,ah
把……与……分享,share sth with sb
嗯（表示喜欢、同意等）,mm
熟悉的,familiar
笑话,joke
开玩笑,joke
几个；一些,several
各自的,several
点（头）,nod
作者,writer
正文；文本,text
（用手机给某人）发短信,text
描述；形容,describe
无论去哪里；在任何地方,wherever
要紧,n. matter
不论；不要紧,no matter
也许；可能,perhaps
盘子；碟子,plate
刚刚,freshly
发臭；闻到,smell
气味；臭味,smell
喜悦；乐趣,joy
房间；公寓套房,apartment
大楼；街区；大块,block
装饰；装潢,decorate
遮盖；包括,cover
遮盖物；封皮,cover
