中文,英文
围巾,scarf
手风琴,accordion
塔,tower
预算,budget
护照,passport
健忘的,forgetful
有规律的,regular
乡村,countryside
鹿,deer
很可能,probably
打包,pack
浴室,bathroom
卧室,bedroom
客厅,living room
到达,arrival
添加,add
借,borrow
计划,plan
搜寻,hunt
电梯,lift
不运行的,dead
笔记,note
社区,community
垃圾,rubbish
几乎,almost
拉,pull
行李,luggage
点头,nod
短信,text
要紧,matter
盘子,plate
气味,smell
喜悦,joy
大楼,block
覆盖,cover
海报,poster
剪刀,scissors
胶水,glue
解决,solve
长笛,flute
奖,prize
空闲的,spare
乐事,pleasure
外表,appearance
性格,personality
严肃的,serious
优势,strength
事实,fact
人口,population
平均的,average
幽默,humour
