中文,英文
名字,name
电话,telephone
号码,number
朋友,friend
中国,China
学校,school
家庭,family
姐妹,sister
母亲,mother
父亲,father
家长,parent
兄弟,brother
奶奶,grandmother
爷爷,grandfather
祖父母,grandparent
女儿,daughter
儿子,son
堂兄弟,cousin
阿姨,aunt
叔叔,uncle
图片,picture
女孩,girl
狗,dog
铅笔,pencil
书,book
橡皮,eraser
盒子,box
书包,schoolbag
字典,dictionary
棒球,baseball
电脑,computer
游戏,game
卡片,card
笔记本,notebook
戒指,ring
包,bag
图书馆,library
教室,classroom
哪里,where
桌子,table
床,bed
书架,bookcase
沙发,sofa
椅子,chair
书桌,desk
房间,room
帽子,hat
头,head
收音机,radio
时钟,clock
磁带,tape
播放器,player
模型,model
飞机,plane
足球,soccer
球,ball
网球,tennis
排球,volleyball
篮球,basketball
球棒,bat
运动,sport
班级,class
课程,lesson
收集,collection
听起来,sound
好的,good
极好的,great
喜欢,like
西红柿,tomato
汉堡包,hamburger
冰淇淋,ice-cream
沙拉,salad
香蕉,banana
草莓,strawberry
梨,pear
牛奶,milk
面包,bread
生日,birthday
晚餐,dinner
星期,week
食物,food
当然,sure
蔬菜,vegetable
水果,fruit
健康的,healthy
衣服,clothes
袜子,sock
T恤,T-shirt
短裤,shorts
毛衣,sweater
裤子,trousers
鞋,shoe
裙子,skirt
美元,dollar
大的,big
小的,small
短的,short
长的,long
女人,woman
需要,need
看,look
双,pair
拿,take
吉他,guitar
唱歌,sing
游泳,swim
跳舞,dance
画画,draw
国际象棋,chess
说,speak
加入,join
俱乐部,club
告诉,tell
故事,story
写,write
演出,show
或者,or
谈话,talk
鼓,drum
钢琴,piano
小提琴,violin
也,also
人们,people
家,home
制作,make
中心,center
今天,today
得到,get
穿衣,dress
刷牙,brush
牙齿,tooth
洗澡,shower
通常,usually
四十,forty
从不,never
早的,early
五十,fifty
工作,job
工作,work
车站,station
收音机,radio
...点钟,o'clock
夜晚,night
有趣的,funny
锻炼,exercise
最好的,best
组,group
一半,half
过去,past
一刻钟,quarter
家庭作业,homework
跑,run
打扫,clean
走路,walk
乘,take
