中文,英文
你好,hello
世界,world
苹果,apple
香蕉,banana
橙子,orange
电脑,computer
手机,mobile phone
学校,school
老师,teacher
学生,student
书本,book
铅笔,pencil
桌子,desk
椅子,chair
窗户,window
门,door
汽车,car
公交车,bus
自行车,bicycle
飞机,airplane
火车,train
船,ship
猫,cat
狗,dog
鸟,bird
鱼,fish
老虎,tiger
狮子,lion
大象,elephant
熊猫,panda
红色,red
蓝色,blue
绿色,green
黄色,yellow
黑色,black
白色,white
粉色,pink
紫色,purple
橙色,orange
棕色,brown
天空,sky
太阳,sun
月亮,moon
星星,star
云,cloud
雨,rain
雪,snow
风,wind
山,mountain
河,river
湖,lake
海,sea
树,tree
花,flower
草,grass
森林,forest
花园,garden
房子,house
家,home
房间,room
厨房,kitchen
浴室,bathroom
卧室,bedroom
客厅,living room
爸爸,father
妈妈,mother
哥哥,older brother
姐姐,older sister
弟弟,younger brother
妹妹,younger sister
朋友,friend
同学,classmate
医生,doctor
护士,nurse
警察,police officer
消防员,firefighter
司机,driver
工人,worker
农民,farmer
工程师,engineer
科学家,scientist
艺术家,artist
音乐家,musician
运动员,athlete
早上,morning
下午,afternoon
晚上,evening
夜晚,night
今天,today
昨天,yesterday
明天,tomorrow
星期,week
星期一,Monday
星期二,Tuesday
星期三,Wednesday
星期四,Thursday
星期五,Friday
星期六,Saturday
星期日,Sunday
一月,January
二月,February
三月,March
四月,April
五月,May
六月,June
七月,July
八月,August
九月,September
十月,October
十一月,November
十二月,December
春天,spring
夏天,summer
秋天,autumn
冬天,winter
